대여일자,대여소번호,대여소명,대여구분코드,성별,연령대코드,이용건수,운동량,탄소량,이동거리(M),이용시간(분)
202501,102,102. 망원역 1번출구 앞,일일권,,20대,24,1510.39,15.41,66468.87,716
202501,102,102. 망원역 1번출구 앞,일일권,,30대,22,1150.04,10.93,47128.28,649
202501,102,102. 망원역 1번출구 앞,일일권,,40대,2,141.11,1.15,4946.15,33
202501,102,102. 망원역 1번출구 앞,일일권,,50대,3,279.03,2.22,9584.22,80
202501,102,102. 망원역 1번출구 앞,일일권,,기타,7,858.12,8.29,35708.33,304
202501,102,102. 망원역 1번출구 앞,일일권,F,20대,28,1868.91,18.85,81296.98,962
202501,102,102. 망원역 1번출구 앞,일일권,F,30대,16,682.98,7.05,30437.71,400
202501,102,102. 망원역 1번출구 앞,일일권,F,40대,15,727.16,7.86,33900.87,702
202501,102,102. 망원역 1번출구 앞,일일권,F,50대,5,554.08,5.39,23211.52,284
202501,102,102. 망원역 1번출구 앞,일일권,F,60대,3,103.81,0.94,4032.92,32
202501,102,102. 망원역 1번출구 앞,일일권,F,~10대,1,36.66,0.33,1424.12,15
202501,102,102. 망원역 1번출구 앞,일일권,F,기타,6,153.2,1.38,5952.0,52
202501,102,102. 망원역 1번출구 앞,일일권,M,20대,33,2030.34,17.14,73881.56,870
202501,102,102. 망원역 1번출구 앞,일일권,M,30대,23,1854.12,14.44,62149.87,783
202501,102,102. 망원역 1번출구 앞,일일권,M,40대,10,1045.2,8.36,36088.92,328
202501,102,102. 망원역 1번출구 앞,일일권,M,60대,1,105.93,0.79,3386.08,25
202501,102,102. 망원역 1번출구 앞,일일권,M,~10대,7,614.25,6.23,26801.86,268
202501,102,102. 망원역 1번출구 앞,일일권,M,기타,7,595.82,5.38,23147.39,157
202501,102,102. 망원역 1번출구 앞,일일권(비회원),,20대,1,34.25,0.31,1330.6,11
202501,102,102. 망원역 1번출구 앞,일일권(비회원),,기타,22,1147.8,10.37,44591.89,388
202501,102,102. 망원역 1번출구 앞,정기권,,20대,119,3863.41,34.81,151608.73,2054
202501,102,102. 망원역 1번출구 앞,정기권,,30대,121,5415.46,49.24,212463.55,2440
202501,102,102. 망원역 1번출구 앞,정기권,,40대,22,899.91,7.54,32481.34,341
202501,102,102. 망원역 1번출구 앞,정기권,,50대,45,1989.44,17.81,77609.58,1599
202501,102,102. 망원역 1번출구 앞,정기권,,60대,5,580.58,4.27,18411.85,117
202501,102,102. 망원역 1번출구 앞,정기권,,기타,8,270.16,2.54,10956.11,216
202501,102,102. 망원역 1번출구 앞,정기권,F,20대,67,4889.35,47.08,202842.43,1597
202501,102,102. 망원역 1번출구 앞,정기권,F,30대,164,5543.64,52,224393.53,3313
